source_id,title,date,issuer,document_type,prineville_specific,building_phase_specific,temporal_applicability,source_authority,reference,architecture_evidence,current_use,notes
META_ENG_2011_PARK,Designing a Very Efficient Data Center,2011-04-14,Meta/Facebook engineering (Jay Park),operator engineering article,yes,Prineville first OCP facility / Prineville 1 class,initial design / commissioning era,TIER1_OPERATOR_SELF_REPORTED,https://engineering.fb.com/2011/04/14/core-infra/designing-a-very-efficient-data-center/,no chiller plant; no cooling towers/pumps; 100% OA evaporative cooling and humidification; winter return-air mix in penthouse; ductless/hot-aisle containment; capability to install IEC if needed (NOT installed),early-epoch architecture prior,CAPABILITY != INSTALLED for IEC
OCP_DC_V1_2011,Open Compute Project Data Center v1.0,2011-04,Open Compute Project / Facebook,mechanical/electrical specification,yes (first implementation),Prineville 1 mechanical penthouse,2011 design,TIER1_SPEC,Open Compute Data Center v1.0 (Park); local excerpt via public spec copies,OA louvers → mix with return → filters → ECH mist → mist eliminators → fan wall → cold aisle; cold aisle 65–85 F; dewpoint min 41.9 F; 65% RH max; no chillers/compressors for IT; RO/softener; VFD fans; BMS; Appendix B indirect cooling is optional/future,air-path / water-mechanism physics spec,Appendix B IEC is capability/spec option
OCP_WATER_PRN1,Water Efficiency at Facebook's Prineville Data Center,2011-era OCP blog,Open Compute Project,operator/OCP blog,yes (Prineville 1),PRN1,early PRN1,TIER1_OPERATOR,https://www.opencompute.org/blog/water-efficiency-at-facebooks-prineville-data-center,built-up penthouse; 100% OA economizer; direct ECH misting; no chillers or cooling towers; single-pass with recirculate or exhaust; water in supply-air stream not cooling-tower blowdown,ECH acronym + water path,ECH = evaporative cooling and humidification
OCP_LESSONS_2011,Learning Lessons at the Prineville Data Center,2011,OCP / Electronics Cooling republication,incident/lessons,yes,PRN1,2011 operations,TIER1,https://www.opencompute.org/blog/learning-lessons-at-the-prineville-data-center,confirms penthouse chiller-less OA+evap; damper/recirculation control exists; humidification spray can run 100%,controls existence,fault sequence is not the design intent
DCD_PENTHOUSE_TOUR,Facebook details efficiency at Prineville / penthouse video,2011,Data Center Dynamics / Data Center Knowledge,industry press / video tour,yes,first building,2011,TIER2,Jay Park penthouse tour; MeeFog high-pressure mist,"louvers, mixing with hot-aisle air, filter banks, pressurized water mist, fan wall, winter recirculation heating",air-path corroboration,secondary
MEEFOG_VENDOR,How Facebook Upgraded the Outside Air Cooling System at Their Prineville Data Center,later upgrade article,Upsite / Mee Industries vendor case,vendor case study,yes,stated 147k ft2 hall,fog system remained; pump lubrication upgrade,TIER2,https://www.upsite.com/blog/how-facebook-upgraded-the-outside-air-cooling-system-at-their-prineville-data-center/,MeeFog 28 units / ~6600 nozzles; still OA+fog not CRAH hall cooling; water-lubricated pump swap,confirms mist technology persistence at a Prineville hall,do not treat vendor claims as campus-wide later architecture
PRN1_PERMITS_2021_2024,Crook County PRN1 addition mechanical/chiller permits,2021-2024,Crook County ePermitting,permit inspection summaries,yes,PRN1 only,late-2023 commissioning → 2024-02 operational chiller,TIER1_PUBLIC_RECORD,data/raw/prineville_strictly_valuable_permits_v2/; data/canonical/facility/prn1_addition_facts.csv,"chilled-water, CRAH, chiller for personnel and IT; additional roof chiller operational 2024-02-02; heat-rejection type NOT stated",later PRN1 epoch,not campus-wide; not used historically to retune holdout
CCO_MECH_2019,217-19-000276-MECH CCO1/CCO2 mechanical,2019-2021,Crook County,permit inspection,yes,CCO1/CCO2,CCO commissioning,TIER1_PUBLIC_RECORD,data/manual_templates/campus_buildings.csv,"water rooms, IWS/IWR, piping serving ECH in Data Hall A, data-hall supply water, CRAC in electrical room, refrigeration lines. No explicit chiller/tower. ECH matches OCP evaporative cooling/humidification acronym.",CCO architecture SUPPORTED ECH class,CRAC in electrical room is not hall architecture
CITY_ORD1246_2018,Ordinance 1246 PRN1–PRN6 map,2018-09-25,City of Prineville,ordinance map,yes,PRN campus layout,2018 identity,TIER1,config/prineville_documentary_sources.csv,names PRN1–PRN6; no cooling technology,facility identity,
OPUC_UM1989_2018,UM 1989 Vitesse direct-access application,2018-12-14,OPUC / Vitesse,regulatory filing,yes,PRN vs CCO,2014 four PRN buildings; 2018 CCO announcement,TIER1,documentary core PDF,"campus chronology, not cooling specs",epochs,announcement ≠ commissioning
META_SPLC_2018,StatePoint Liquid Cooling system for data centers,2018-06-05,Meta engineering,fleet technology announcement,no,n/a,fleet where direct cooling unsuitable,TIER3_FLEET,https://engineering.fb.com/2018/06/05/data-center-engineering/statepoint-liquid-cooling/,SPLC exists; intended where direct cooling not feasible; direct evaporative remains preferred where climate allows,context only,NEVER PRINEVILLE CONFIRMED from this source
META_FLEET_PENTHOUSE_2024,Meta existing-DC outside air / mixing / misting / fan-wall description,2024-context,Meta,fleet technical context,no unless linked,n/a,many existing Meta DCs,TIER3_FLEET,Meta cooling-control / penthouse documentation (fleet),"OA, mixing, evaporative/humidification misting, fan walls, SAT/RH/airflow control exist in the fleet",context only,does not by itself confirm later Prineville buildings
