epoch_id,building,mechanism,evidence,source,page,source_scope,source_authority,status,reason,confidence
E1_PRN1_OCP_COMMISSIONING,PRN1,100pct_outside_air_economizer,100% outside air evaporative cooling; single-pass economizer with exhaust or recirculate,META_ENG_2011_PARK; OCP_WATER_PRN1,"Cooling, Airflow Innovations / Prineville 1 mechanical system",PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,operator+OCP for PRN1; later PRN halls not separately specified,CONFIRMED
E1_PRN1_OCP_COMMISSIONING,PRN1,return_air_mixing_winter,Return air mixed with OA in penthouse to meet temperature setpoint; wasted heat recirculated in winter,META_ENG_2011_PARK; OCP_DC_V1_2011 §5.3.2 step 3,"Cooling, Airflow Innovations",PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,documented mixing; gray-box does not implement OA fraction,CONFIRMED
E1_PRN1_OCP_COMMISSIONING,PRN1,direct_evaporative_mist_ECH,High-pressure atomizing ECH misting in supply-air path (MeeFog class),OCP_WATER_PRN1; OCP_DC_V1_2011; MEEFOG_VENDOR,ECH misting system,PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,direct evaporative/humidification,CONFIRMED
E1_PRN1_OCP_COMMISSIONING,PRN1,humidification,Same ECH system provides humidification (high-desert winter) and evaporative cooling (summer),META_ENG_2011_PARK; OCP_DC_V1_2011 5.2,OA operating conditions,PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,documented dual use,CONFIRMED
E1_PRN1_OCP_COMMISSIONING,PRN1,fan_wall,Supply fan room / fan array with VFDs pushes air down shafts to cold aisles,OCP_DC_V1_2011 §5.3.2–5.3.3,Supply Fan Systems,PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,,CONFIRMED
E1_PRN1_OCP_COMMISSIONING,PRN1,hot_aisle_containment,Hot aisles contained; return plenum; ductless shafts,META_ENG_2011_PARK,"Cooling, Airflow Innovations",PRINEVILLE_SPECIFIC,TIER1,CONFIRMED,,CONFIRMED
E1_PRN1_OCP_COMMISSIONING,PRN1,indirect_evaporative,Capability to install indirect evaporative cooling if needed; OCP Appendix B,META_ENG_2011_PARK,"Cooling, Airflow Innovations last sentence",PRINEVILLE_SPECIFIC,TIER1,UNSUPPORTED,CAPABILITY TO INSTALL != INSTALLED,UNSUPPORTED
E1_PRN1_OCP_COMMISSIONING,PRN1,SPLC,No Prineville-specific SPLC installation source,META_SPLC_2018,fleet announcement,META_FLEET_CONTEXT,TIER3,UNSUPPORTED,fleet technology exists; not linked to Prineville,UNSUPPORTED
E1_PRN1_OCP_COMMISSIONING,PRN1,liquid_cooling_direct_to_chip,None,none,,GENERIC,none,UNSUPPORTED,no site evidence,UNSUPPORTED
E1_PRN1_OCP_COMMISSIONING,PRN1,cooling_tower,2011 design eliminated cooling towers,META_ENG_2011_PARK,"We didn't build a chiller plant, eliminating associated cooling towers",PRINEVILLE_SPECIFIC,TIER1,CONTRADICTED,explicitly not part of original design; later PRN1 heat-rejection type unknown,CONTRADICTED
E1_PRN1_OCP_COMMISSIONING,PRN1,mechanical_chiller,No chiller plant; no compressors for IT load in OCP v1.0,META_ENG_2011_PARK; OCP_DC_V1_2011 §5.3,,PRINEVILLE_SPECIFIC,TIER1,CONTRADICTED,early epoch only,CONTRADICTED
E1_PRN1_OCP_COMMISSIONING,PRN1,dry_cooler,None installed as the IT heat-rejection path in 2011 design,META_ENG_2011_PARK,,PRINEVILLE_SPECIFIC,TIER1,UNSUPPORTED,not described for early OA+ECH path,UNSUPPORTED
E2_PRN_FOUR_BUILDING,PRN_campus,100pct_outside_air_economizer,100% outside air evaporative cooling; single-pass economizer with exhaust or recirculate,META_ENG_2011_PARK; OCP_WATER_PRN1,"Cooling, Airflow Innovations / Prineville 1 mechanical system",PRINEVILLE_SPECIFIC,TIER1,POSSIBLE,operator+OCP for PRN1; later PRN halls not separately specified,POSSIBLE
E2_PRN_FOUR_BUILDING,PRN_campus,return_air_mixing_winter,Return air mixed with OA in penthouse to meet temperature setpoint; wasted heat recirculated in winter,META_ENG_2011_PARK; OCP_DC_V1_2011 §5.3.2 step 3,"Cooling, Airflow Innovations",PRINEVILLE_SPECIFIC,TIER1,POSSIBLE,documented mixing; gray-box does not implement OA fraction,POSSIBLE
E2_PRN_FOUR_BUILDING,PRN_campus,direct_evaporative_mist_ECH,High-pressure atomizing ECH misting in supply-air path (MeeFog class),OCP_WATER_PRN1; OCP_DC_V1_2011; MEEFOG_VENDOR,ECH misting system,PRINEVILLE_SPECIFIC,TIER1,POSSIBLE,direct evaporative/humidification,POSSIBLE
E2_PRN_FOUR_BUILDING,PRN_campus,humidification,Same ECH system provides humidification (high-desert winter) and evaporative cooling (summer),META_ENG_2011_PARK; OCP_DC_V1_2011 5.2,OA operating conditions,PRINEVILLE_SPECIFIC,TIER1,POSSIBLE,documented dual use,POSSIBLE
E2_PRN_FOUR_BUILDING,PRN_campus,fan_wall,Supply fan room / fan array with VFDs pushes air down shafts to cold aisles,OCP_DC_V1_2011 §5.3.2–5.3.3,Supply Fan Systems,PRINEVILLE_SPECIFIC,TIER1,POSSIBLE,,POSSIBLE
E2_PRN_FOUR_BUILDING,PRN_campus,hot_aisle_containment,Hot aisles contained; return plenum; ductless shafts,META_ENG_2011_PARK,"Cooling, Airflow Innovations",PRINEVILLE_SPECIFIC,TIER1,POSSIBLE,,POSSIBLE
E2_PRN_FOUR_BUILDING,PRN_campus,indirect_evaporative,Capability to install indirect evaporative cooling if needed; OCP Appendix B,META_ENG_2011_PARK,"Cooling, Airflow Innovations last sentence",PRINEVILLE_SPECIFIC,TIER1,UNSUPPORTED,CAPABILITY TO INSTALL != INSTALLED,UNSUPPORTED
