source_id,source_path,date_period,source_type,address,facility_campus_scope,FRC1_identity_status,variable,units,observed_vs_inferred,usable_for,not_usable_for,provenance_hash,notes,bucket,do_not_merge_2012_with_2023_2024_campus
META_FC_OPENING_2012_04_19,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/meta_fc_opening_2012.html,2012-04-19,PRIMARY_OPERATOR,,FOREST_CITY_CAMPUS,INTERVAL/SET_UNRESOLVED,operational status,,OBSERVED_OPENING,campus announcement,"Does not report PUE/WUE, DeltaT, or controller setpoints.",c2963c157d991ca0296840353ff79248c4475079f26d2b8199e180b3c9e3c152,"Our Data Center Opens in Forest City, N.C.",A_original_design_era_FRC1,True
META_FC_OPENING_NEWSROOM_2012,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/meta_fc_opening_newsroom_2012.html,2012-04-19,PRIMARY_OPERATOR,,FOREST_CITY_CAMPUS,INTERVAL/SET_UNRESOLVED,operational status,,OBSERVED_OPENING,campus announcement,Same facts as Data Centers post; no engineering setpoints.,c8ae30543e63bf49431924b3f028d4a8ecde664ac3aa93ae5331c1b3cdb9675f,"Facebook Data Center Opens in Forest City, N.C.",A_original_design_era_FRC1,True
MAGUIRE_2011_OCP_REFLECTIONS,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/maguire_2011_ocp_reflections.html,2011 planned operation,PRIMARY_OPERATOR,,FOREST_CITY_PLANNED_VS_PRN1,INTERVAL/SET_UNRESOLVED,85F inlet; 90% RH; 25F->35F DeltaT; 45% less AHU hardware,,DESIGN_SPEC_PLANNED,server inlet / cold-to-hot aisle DESIGN,"Planned Forest City operation as of 2011; not as-operated BMS. DeltaT is IT/server aisle rise, not proven facility effective ΔT.",7dd7b7329f36eda59bd148d64f3b85fc0989f1fbc9c52d978aa618792f36589f,Reflections on the Open Compute Summit,B_controller_design,True
OCP_2013_HOT_HUMID,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/ocp_2013_hot_humid_climate.html,summer 2012; 2012-06-25 and 2012-07-01 events,PRIMARY_OPERATOR,,FOREST_CITY,INTERVAL/SET_UNRESOLVED,85F/90%RH envelope; DX installed unused; mixing; evaporative; PUE 1.07 summer,,OPERATOR_OBSERVED,operator-observed outdoor/indoor behavior; PUE seasonal,"Blog, not BMS extract. Event DB/RH are outdoor snapshots. PUE 1.07 is seasonal, not WUE. Rutherfordton weather ~6 miles used for design analysis, not necessarily this blog's event sensors.",9c22d15bf5afe8a36031acef0d0f78707c49ea294f9944ca2eba7aa20756fb93,Cooling an OCP Data Center in a Hot and Humid Climate,B_controller_design,True
OCP_2012_PUE_WUE_DASHBOARD,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/ocp_2012_pue_wue_report.html,2012 dashboard launch,PRIMARY_OPERATOR,,PRINEVILLE_AND_FOREST_CITY,INTERVAL/SET_UNRESOLVED,"PUE, WUE, outside T, outside humidity; 24h and 1-year views",,OBSERVED_DASHBOARD_PRODUCT,see post for WUE/PUE definitions; not recovered here until dashboard freeze,Describes dashboard product; raw time series not in this HTML.,ebe01c2f9cccf4e53c6af113f277c86391eeff62be7ff32a2034f94e4cd89918,A new way to report PUE and WUE,E_dashboard_screenshot,True
DPR_FOREST_CITY_PROJECT,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dpr_forest_city_project.html,original campus construction,ENGINEERING_CONSTRUCTION,,FOREST_CITY_CAMPUS,INTERVAL/SET_UNRESOLVED,"area, suite count, penthouse, evaporative cooling, on-site substation",,DESIGN_CONSTRUCTION,construction/design description,Does not identify later buildings; square feet are construction figures not measured load.,66fd68105d955e5a1f1854f39c41a79421806bbf75748bf6afb9804a5a28c973,Facebook Forest City Data Center,A_original_design_era_FRC1,True
DPR_BUILDING_COMMUNITY_BLOG,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dpr_building_community.html,construction of original FC building,ENGINEERING_CONSTRUCTION,,FOREST_CITY_AND_PRINEVILLE,INTERVAL/SET_UNRESOLVED,370000-plus sqft; 125000 sqft penthouse; four halls,,DESIGN_CONSTRUCTION,construction,125000 sqft penthouse is 5x 25000; consistent with four suites. Not a later-campus inventory.,9f726df3963cfc2510614a637e173d5e1ff64b2a207b7c536e9efa811ffb1a17,Building Community along with Facebook Open…,A_original_design_era_FRC1,True
ENR_2013_GREEN_LIKES,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/enr_2013_green_likes.html,original building as constructed,SECONDARY_ENGINEERING,,FOREST_CITY,INTERVAL/SET_UNRESOLVED,airflow path; mixing; Munters; DX not detailed here,,DESIGN_CONSTRUCTION,construction journalism,354k vs DPR 370k discrepancy preserved. Not BMS.,86deaa84976ef107871e0e3856cca9b5c0cab114b69b79eb3197444c43bf073e,Facebook Data Center Earns Many Green 'Likes',A_original_design_era_FRC1,True
DCK_2013_SERVERS_HOTTER,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dck_2013_servers_hotter.html,summer 2012,SECONDARY_CORROBORATION,,FOREST_CITY,INTERVAL/SET_UNRESOLVED,102F; DX unused; 85F/90%RH; misting,,OPERATOR_OBSERVED_VIA_PRESS,operator quotes,Secondary; quotes OCP/Lee post.,427685bcb5a61fd061b18722368caa436d17f586e3cc74a0b62122050de921e4,"Facebook Servers Get Hotter, But Run Fine in the South",A_original_design_era_FRC1,True
DCK_2011_85_COLD_AISLE,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/dck_2011_85_cold_aisle.html,2011,SECONDARY_CORROBORATION,,FOREST_CITY_PLANNED,INTERVAL/SET_UNRESOLVED,85F; 90%RH; 35F DeltaT; 45% less AHU; hot aisle 120F interpretation,,DESIGN_SPEC_VIA_PRESS,quotes Maguire; DCK interprets 35F as cold-to-hot aisle,"120F is DCK inference from 85+35, not a measured AHU ΔT.",aa935b9a39ee1bb9ddfa4a655b8470ad6e7c066a3813422566e48688d94c674b,Facebook: 85 Degrees in the 'Cold' Aisle,A_original_design_era_FRC1,True
