edge,forest_city_status,prineville_status_context,forest_city_detail,note
workload→IT,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,no public interval IT load
IT→airflow,UNIDENTIFIED,SCENARIO_ONLY 12K generic effective,DESIGN_SPEC 35F IT rise; EFFECTIVE UNIDENTIFIED,boundaries not interchangeable
weather→controller,DESIGN_SPEC,ENGINEERING_BOUNDED Q2 KRDM + OCP A-H DESIGN_SPEC,ENGINEERING_BOUNDED KFQD from 2012-06-21 + FC envelope DESIGN_SPEC,KFQD gap before 2012-06-21
controller→air state,OPERATOR_OBSERVED,DESIGN_SPEC,DESIGN_SPEC + OPERATOR_OBSERVED events,"{'B_2012_06_25': {'event': 'B_2012_06_25', 'date': '2012-06-25', 'operator_T_F': 68.0, 'operator_RH': 0.97, 'observed': 'DX NOT required; high-RH mixing of hot return air to stay within 90% cap', 'expect_dx': False, 'expect_mode_family': 'RETURN_AIR_MIXING', 'n_kfqd_hours': 24, 'kfqd_Tmin_F': 64.4, 'kfqd_Tmax_F': 87.8, 'kfqd_RHmin': 0.5309607119314196, 'kfqd_RHmax': 1.0, 'nearest_hour_utc': '2012-06-25 04:00:00+00:00', 'nearest_T_F': 68.0, 'nearest_RH': 1.0, 'nearest_mode': 'HIGH_RH_RETURN_AIR_MIXING', 'nearest_dx': False, 'synthetic_mode': 'HIGH_RH_RETURN_AIR_MIXING', 'synthetic_mode_family': 'RETURN_AIR_MIXING', 'synthetic_dx': False, 'synthetic_oa_fraction': 0.94, 'synthetic_spray': False, 'synthetic_t_supply_F': 70.23404255328656, 'synthetic_rh_supply': 0.8985495780132209, 'synthetic_margin_T_K': 8.203309692618578, 'synthetic_margin_RH': 0.001450421986779138, 'day_dx_required_hours': 0, 'day_mode_fractions': '{""HIGH_RH_RETURN_AIR_MIXING"": 0.4583333333333333, ""OA_FREE_COOLING"": 0.3333333333333333, ""EVAPORATIVE_COOLING"": 0.20833333333333334}', 'status': 'PASS', 'controller_not_modified': True}, 'A_2012_07_01': {'event': 'A_2012_07_01', 'date': '2012-07-01', 'operator_T_F': 102.0, 'operator_RH': 0.26, 'observed': 'evaporative/free cooling worked; DX NOT required', 'expect_dx': False, 'expect_mode_family': 'EVAPORATIVE_COOLING', 'n_kfqd_hours': 24, 'kfqd_Tmin_F': 72.2, 'kfqd_Tmax_F': 98.6, 'kfqd_RHmin': 0.3389227876632347, 'kfqd_RHmax': 0.9603578181723449, 'nearest_hour_utc': '2012-07-01 20:00:00+00:00', 'nearest_T_F': 98.6, 'nearest_RH': 0.3389227876632347, 'nearest_mode': 'EVAPORATIVE_COOLING', 'nearest_dx': False, 'synthetic_mode': 'EVAPORATIVE_COOLING', 'synthetic_mode_family': 'EVAPORATIVE_COOLING', 'synthetic_dx': False, 'synthetic_oa_fraction': 1.0, 'synthetic_spray': True, 'synthetic_t_supply_F': 85.0, 'synthetic_rh_supply': 0.5789560123501263, 'synthetic_margin_T_K': 0.0, 'synthetic_margin_RH': 0.32104398764987374, 'day_dx_required_hours': 0, 'day_mode_fractions': '{""OA_FREE_COOLING"": 0.4583333333333333, ""EVAPORATIVE_COOLING"": 0.3333333333333333, ""HIGH_RH_RETURN_AIR_MIXING"": 0.20833333333333334}', 'status': 'PASS', 'controller_not_modified': True}}"
air state→AIR_STREAM_EVAPORATED_WATER,UNIDENTIFIED,STRUCTURALLY_IDENTIFIED physics; magnitude overpredicts published WUE,STRUCTURALLY_IDENTIFIED physics; intensity UNIDENTIFIED without effective DeltaT,
air vapor→cooling-water input,UNIDENTIFIED,SCENARIO_BOUNDED RO hypotheses,UNIDENTIFIED (UV then evap; RO not identified),ENR municipal UV
cooling-water input→site withdrawal,UNIDENTIFIED,UNIDENTIFIED meter,UNIDENTIFIED,annual EDI is site withdrawal not 2012 cooling meter
site withdrawal→municipal water,ENGINEERING_BOUNDED,City meters diagnostic,ENGINEERING_BOUNDED accounting share only,not causal
municipal water→Second Broad River,DIRECTLY_MEASURED,n/a,DIRECTLY_MEASURED municipal raw source in LWSP,PWSID 01-81-010
facility electricity→grid emissions,UNIDENTIFIED,PACW/eGRID Oregon,EXTERNALLY_VALIDATED Meta location-based series; grid reconstruction insufficient,Duke/SRVC
