quantity,symbol,units,date_range,temporal_resolution,evidence_class,physical_meaning,source,water_thermal_boundary,observation,usable_as_model_target,usable_as_model_predictor,usable_as_validation_only,value,measurement_device,uncertainty,notes,extraction_method
IT_load_mean,P_IT_bar,kW,2016-09-01/2017-08-31,annual mean,DIRECT_MEASUREMENT,"hourly-average IT electrical load, first full TSC year",Sickinger §2.2,IT_ELECTRICAL_NOT_THERMAL,direct,False,True,True,888.0,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
IT_energy,E_IT,MWh,2016-09-01/2017-08-31,annual,DIRECT_MEASUREMENT,IT electrical energy first full TSC year,Sickinger §2.2,IT_ELECTRICAL,direct,False,True,True,7776.0,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
PUE_annual,PUE,1,2016-09-01/2017-08-31,annual,MEASUREMENT_DERIVED,facility energy / IT energy; TSC fan/pump energy included,"Sickinger exec summary 1.034; §2.2 equation (PDF glyph encoding garbled); reconcilable from 8,037,500 kWh / 7,776,000 kWh",ELECTRICAL_PUE,derived,False,False,True,1.034,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
ERE_annual,ERE,1,2016-09-01/2017-08-31,annual,MEASUREMENT_DERIVED,(facility energy − reuse energy)/IT energy,Sickinger §2.2; NREL/TP-2C00-78400 restates 0.929,ELECTRICAL_ERE,derived,False,False,True,0.929,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
W_ESIF_reported_cooling,W_site_cooling,m3,2016-09-01/2017-08-31,annual (manual meter readings),MEASUREMENT_DERIVED,Meter 1 + Meter 2 + estimated sand-filter blowdown; city/softened cooling-tower loop water,Sickinger §3.2.1; implied by WUE×E_IT,CONDITIONING_SITE_WATER / TOWER_MAKEUP_PLUS_SOFTENER_REGEN_PLUS_FILTER_BLOWDOWN_ESTIMATE,meters + estimate,True,False,True,,,,MAU humidification excluded; not groundwater; not WUESOURCE,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
WUE_site_observed,WUE,L/kWh,2016-09-01/2017-08-31,annual,MEASUREMENT_DERIVED,on-site WUE = reported cooling-loop water / IT energy,Sickinger exec/§2.2/§4 0.70 L/kWh,CONDITIONING_SITE_WATER,derived,True,False,True,0.7,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
WUE_no_TSC_reuse_plus_tower,WUE_cf_reuse,L/kWh,2016-09-01/2017-08-31,annual,MODELED_COUNTERFACTUAL,engineering counterfactual if heat-recovery + towers continued without TSC,Sickinger 1.27 L/kWh,CONDITIONING_SITE_WATER,counterfactual,False,False,True,1.27,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
WUE_tower_only,WUE_cf_tower,L/kWh,2016-09-01/2017-08-31,annual,MODELED_COUNTERFACTUAL,"engineering counterfactual if only cooling towers (no reuse, no TSC)",Sickinger 1.42 L/kWh,CONDITIONING_SITE_WATER,counterfactual,False,False,True,1.42,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
W_TSC_savings_year1,delta_W_TSC,m3,2016-09-01/2017-08-31,annual,MODELED_COUNTERFACTUAL,source-attributed TSC water savings vs reuse+tower counterfactual,"Sickinger 4,400 m3 / 1.16 million gal",CONDITIONING_SITE_WATER,counterfactual difference,False,False,True,4400.0,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
W_TSC_savings_24month,delta_W_TSC_24mo,m3,through 2018-08-02,cumulative 24-month,MODELED_COUNTERFACTUAL,cumulative TSC water savings to 2018-08-02,"Sickinger Fig 5 / §2.3 7,950 m3",CONDITIONING_SITE_WATER,counterfactual cumulative,False,False,True,7950.0,,,,source prose from Sickinger/Carter PDF text extract; no official water spreadsheet
