evidence_id,doc_id,source_locator,event_date,date_precision,entity_id,boundary_id,building_id,domain,fact_key,value_text,value_numeric,value_relation,unit,evidence_type,confidence,confidence_basis,provenance_class,model_role,prohibited_use,notes
E001,CITY_RES1117_2009,Recitals,2009-11-24,day,VITESSE_LLC,,,identity,historical_project_alias,"Project Vitesse is now Vitesse, LLC",,,,direct_statement,VERY_HIGH,Direct City resolution statement,reported,identity_crosswalk,,
E002,CITY_RES1122_2009,Recitals B and resolution item 1,2009-12-16,day,VITESSE_LLC,,,infrastructure,infrastructure_agreement_execution,"City/Crook County/Vitesse Infrastructure Agreement dated and executed Dec. 16, 2009",,,,legal_record,VERY_HIGH,City resolution ratifies a specifically dated executed agreement,reported,event_context,,Underlying executed agreement is not included/found.
E003,CITY_ORD1170_2010,Ordinance text,2010-04-27,day,VITESSE_LLC,,,identity,historical_address_alias,SW Vitesse Avenue renamed SW Connect Way,,,,legal_record,VERY_HIGH,City ordinance,reported,identity_crosswalk,,Use old and new street names when searching historical records.
E004,CITY_ORD1176_2010,Ordinance item 3; Exhibit B,2010-09-14,day,VITESSE_LLC,,,water_infrastructure,public_utility_access_easement,30-foot City easement for emergency access and public utilities; exhibit labels water/sewer/emergency access,,,,legal_record,VERY_HIGH,City ordinance and map,reported,network_context,Do not infer water/sewer flow or Meta consumption from easement dimensions.,
E005,CITY_RES1271_2015,Recital B,2015-08-26,day,VITESSE_LLC,,UNRESOLVED,campus_chronology,planned_facility_area,"Approximately 200,000 square foot data center facility",200000,approximately,ft2,direct_statement,VERY_HIGH,City resolution directly states approximate area,reported,scale_context,Do not assign to PRN5/PRN6/CCO without explicit mapping.,"Approximate project/facility area, not a verified current building floor-area inventory."
E006,CITY_ORD1234_2017,Ordinance recitals/approval,2017-11-28,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,development_water_sewer_agreement_approved,"City Council approved a Development, Water and Sewer Service Agreement with Vitesse",,,,legal_record,VERY_HIGH,City ordinance,reported,legal_context,,"Executed agreement later referenced as entered Dec. 5, 2017; underlying agreement/exhibits remain missing."
E007,CITY_ORD1242_2018,Recitals,2017-12-05,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,development_water_sewer_agreement_date,"Original Development, Water and Sewer Service Agreement entered Dec. 5, 2017",,,,legal_record,VERY_HIGH,City ordinance references exact agreement date,reported,legal_context,,
E008,CITY_ORD1242_2018,Recitals,2018-08-07,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,sewer_project_depth,First Amendment requested sewer project construction at 28-foot depth,28,stated,ft,legal_record,VERY_HIGH,City ordinance,reported,network_context,Do not infer sewer discharge from depth.,Ordinance says City representatives had executed the amendment; Council ratified it.
E009,CITY_SPECIAL_COUNCIL_2018_08_07,Meeting brief p.2 - Ordinance 1242 discussion,2018-08-07,day,CITY_OF_PRINEVILLE,CITY_SERVICE,,water_infrastructure,deeper_sewer_purpose,Deeper sewer would eliminate need for a pump station and help other development,,,,meeting_summary,HIGH,Official City meeting brief summarizing Public Works explanation,reported,network_context,Do not attribute all benefits/costs exclusively to Meta.,
E010,CITY_SPECIAL_COUNCIL_2018_08_07,Meeting brief p.2 - Ordinance 1242 discussion,2018-08-07,day,CITY_OF_PRINEVILLE,CITY_SERVICE,,water_infrastructure,coordinated_utility_corridor,"City was installing a 16-inch ASR water line, reuse line, and brine line in the same broader project context",,,,meeting_summary,HIGH,Official City meeting brief,reported,network_context,Do not treat these lines as Meta-specific delivery or consumption.,
E011,CITY_ORD1243_2018,Recitals,2018-08-07,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,additional_capacity_need,Vitesse estimated a need for an additional allocation of potable-water and wastewater capacity,,,,legal_record,VERY_HIGH,City ordinance,reported,capacity_lead,Do not convert this statement into a numeric allocation; executed agreement/exhibits are missing.,
E012,CITY_ORD1243_2018,Recitals,2018-08-07,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,wastewater_line_size_change,Requested wastewater line increase from 21 inches to 30 inches,,,,legal_record,VERY_HIGH,City ordinance,reported,network_context,"Pipe diameter is not wastewater volume, campus discharge, or capacity entitlement.",
E013,CITY_ORD1243_2018,Recitals,2018-08-07,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,wastewater_line_incremental_cost,"Increase to 30-inch wastewater line added $1,110,999.14",1110999.14,stated,USD,legal_record,VERY_HIGH,City ordinance,reported,cost_context,Do not treat infrastructure cost as water use or entitlement.,
E014,CITY_ORD1246_2018,Exhibit A campus map,2018-09-25,day,PRN_CAMPUS,PRN,,identity,prn_building_labels,"Official City Facebook-campus map explicitly labels PRN1, PRN2, PRN3, PRN4, PRN5, and PRN6",,,,map_label,VERY_HIGH,Official City ordinance exhibit map,reported,identity_crosswalk,,PRN4 existence is directly confirmed.
E015,CITY_CU2018_105,Application narrative,2018-10-30,day,PACIFIC_POWER,REGIONAL,,electric_infrastructure,large_industrial_transmission_expansion,Pacific Power stated it had been requested to provide additional transmission capacity to a large industrial customer in Crook County,,,,direct_statement,HIGH,Official planning application filed by Pacific Power,reported,network_context,Do not identify the whole regional project as Meta-only.,
E016,CITY_CU2018_105,Application narrative - Phase I,2018,year,PACIFIC_POWER,REGIONAL,,electric_infrastructure,phase1_corral_friend_voltage,"Corral-Friend double-circuit 230/115-kV line, designed for later 230/230-kV operation",,,,direct_statement,HIGH,Official planning application,reported,network_topology,Do not map regional line capacity to campus load.,
E017,CITY_CU2018_105,Application narrative - Phase II,2019,year,PACIFIC_POWER,REGIONAL,,electric_infrastructure,phase2_friend_ochoco_voltage,Two Friend-Ochoco triple-circuit 230/230/115-kV lines planned for mid-2019,,,,direct_statement,HIGH,Official planning application,reported,network_topology,Do not map regional line capacity to campus load.,
E018,OPUC_UM1989_VITESSE_2018,PDF p.4 (application p.3),2014,early_year,PRN_CAMPUS,PRN,,campus_chronology,initial_prn_buildings,"In early 2014, Vitesse was constructing/bringing four data-center buildings online as the initial Prineville Campus phase",4,stated,buildings,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,event_context,,
E019,OPUC_UM1989_VITESSE_2018,PDF p.4 (application p.3),2018,year,PRN_CAMPUS,PRN,,campus_chronology,prn_building_count_after_expansion,"Two additional large PRN buildings were subsequently added/under construction, making six PRN data-center buildings",6,stated,buildings,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,identity_crosswalk,,
E020,OPUC_UM1989_VITESSE_2018,PDF p.4 (application p.3),2018-09-20,day,CCO_CAMPUS,CCO,,campus_chronology,cco_initial_buildings,Crook County Campus announced with two initial new data-center buildings,2,stated,buildings,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,event_context,,
E021,OPUC_UM1989_VITESSE_2018,PDF p.5 (application p.4),2018,projection,VITESSE_CENTRAL_OREGON,PRN_PLUS_CCO,,campus_chronology,combined_projected_footprint,"After PRN expansion and initial CCO completion, combined Central Oregon footprint projected to exceed 3.2 million square feet",3200000,greater_than,ft2,direct_statement,HIGH,Vitesse first-party regulatory filing; explicitly forward-looking,reported,scale_context,Do not treat as occupied 2018 floor area or IT floor area.,Value is a lower-bound phrasing (>3.2M) for projected completed footprint.
E022,OPUC_UM1989_VITESSE_2018,PDF p.6-7 (application p.5-6),2018,year,VITESSE_LLC,PRN_PLUS_CCO,,electric_infrastructure,mesa_and_230kv_loop,Multiple MESAs served six PRN buildings; Vitesse provisioned a 230-kV loop rather than 115-kV infrastructure for PRN5/6 and CCO,,,,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,network_topology,Do not infer campus load from voltage level.,
E023,OPUC_UM1989_VITESSE_2018,PDF p.7 (application p.6),2018,year,VITESSE_LLC,REGIONAL,,electric_infrastructure,excess_transmission_capacity_mw,New 230-kV line expected to have approximately 120 MW of transmission capacity in excess of Vitesse contracted capacity,120,approximately,MW,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,capacity_constraint,"NOT campus load, IT load, contracted load, or observed demand.",
E024,OPUC_UM1989_VITESSE_2018,PDF p.7 (application p.6),2018,year,PRN_CAMPUS,PRN,,electric_service,prn_service_basis,Prineville Campus had not elected direct access and was a Pacific Power cost-of-service customer,,,,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,service_context,,
E025,OPUC_UM1989_VITESSE_2018,PDF p.7-8 (application p.6-7),2018,year,PRN_CAMPUS,PRN,,renewable_accounting,schedule272_resource_capacity_mw,Schedule 272 agreement covered RECs representing 437 MW of new solar resources supporting the six PRN buildings,437,stated,MW,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,renewable_accounting_context,"NOT physical campus demand, observed load, or directly metered generation.",
E026,OPUC_UM1989_VITESSE_2018,PDF p.7 (application p.6),2018,year,CCO_CAMPUS,CCO,,electric_infrastructure,cco_interconnection_capacity_mw,CCO MESA provided improvements necessary to interconnect up to 220 MW of capacity,220,up_to,MW,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,capacity_constraint,"NOT realized demand, IT capacity, or annual average load.",
E027,OPUC_UM1989_VITESSE_2018,PDF p.7 (application p.6),2018,year,CCO_CAMPUS,CCO,,electric_service,cco_pacific_power_service_min_mw,At least 40 MW of the CCO interconnection capacity would be served by Pacific Power,40,at_least,MW,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,service_context,NOT proof of 40 MW realized consumption.,
E028,OPUC_UM1989_VITESSE_2018,PDF p.7 (application p.6),2018,year,CCO_CAMPUS,CCO,,electric_service,cco_subject_new_large_load_mw,Remaining 180 MW was the Subject New Large Load in the direct-access application,180,stated,MW,direct_statement,VERY_HIGH,Vitesse first-party regulatory filing,reported,service_context,NOT realized load or IT load.,
E029,CITY_CU2019_111,Staff report site description,2019-10-15,day,CCO_CAMPUS,CCO,CCO1_CCO2,identity,cco1_cco2_location_and_state,H-style CCO 1&2 and utility facilities were under construction at 300 SW Connect Loop; tax lot 1515000000301,,,,direct_statement,VERY_HIGH,Official City planning staff report,reported,identity_crosswalk,,Treat CCO1&2 as source label; do not infer structural separability beyond source wording.
E030,CITY_CU2021_110_STAFF,Staff report site description,2021-09-21,day,PRN1,PRN,PRN1,identity,prn1_first_building,PRN1 described as the first data-center building constructed at the site,,,,direct_statement,VERY_HIGH,Official City planning staff report,reported,identity_crosswalk,,
E031,CITY_CU2021_110_APP,Application narrative/site plans,2021-09-21,day,PRN1,PRN,PRN1,identity,prn1_modernization_alias,Data Center Modernization - Network Core Addition; Project No. C210083-001,,,,map_label,VERY_HIGH,Vitesse planning application/drawing title blocks,reported,identity_crosswalk,,Use as high-value alternative search identifier.
E032,CITY_RES1518_2022,Development Agreement project definition,2022-04-12,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,resiliency_project_1b,"Project 1B: approximately 2,240 linear feet of 24-inch PVC/HDPE water pipe",2240,approximately,ft,legal_record,VERY_HIGH,Executed/attached City-Vitesse development agreement,reported,network_topology,Do not infer water flow from pipe diameter/length.,
E033,CITY_RES1518_2022,Development Agreement project definition,2022-04-12,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,resiliency_project_2b,"Project 2B: approximately 4,425 linear feet of 30-inch PVC/HDPE water pipe",4425,approximately,ft,legal_record,VERY_HIGH,Executed/attached City-Vitesse development agreement,reported,network_topology,Do not infer water flow from pipe diameter/length.,
E034,CITY_RES1518_STAFF_2022,Excerpt p.1 (parent packet p.77),2022-04-12,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,no_additional_capacity_authorized,No additional capacity is being authorized by the 2022 waterline resiliency agreement,,,,staff_report,VERY_HIGH,Official City staff report directly states this,reported,capacity_guardrail,Do not treat Meta/Vitesse infrastructure funding as new water entitlement.,
E035,CITY_RES1570_2023,Amendment project definition,2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,amended_waterline_scope,"Amended project: approximately 6,665 linear feet of 30-inch PVC water pipe",6665,approximately,ft,legal_record,VERY_HIGH,Signed City-Vitesse amendment,reported,network_topology,Do not infer water flow from pipe diameter/length.,
E036,CITY_RES1570_2023,Amendment financial terms,2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,amended_project_max_price,"Project maximum price $7,465,219.57",7465219.57,contractual_maximum,USD,legal_record,VERY_HIGH,Signed City-Vitesse amendment,reported,cost_context,Cost is not water use or entitlement.,
E037,CITY_RES1570_2023,Amendment financial terms,2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,vitesse_waterline_cost_share,"Vitesse pays 70% of project costs, subject to amendment terms",70,stated,percent,legal_record,VERY_HIGH,Signed City-Vitesse amendment,reported,cost_context,Funding share is not water-use share.,
E038,CITY_RES1570_2023,Amendment ASR term,2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,asr_contribution_structure,"Difference between Vitesse waterline payment and prior $8.4M commitment applied toward Prineville ASR Project, plus administrative fee",,,,legal_record,VERY_HIGH,Signed City-Vitesse amendment,reported,infrastructure_financing_context,"Do not treat ASR funding as Meta pumping, withdrawal, or dedicated stored water.",
E039,CITY_RES1570_STAFF_2023,Excerpt p.1 (parent packet p.45),2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,no_additional_capacity_reservation,There is no additional capacity reservation associated with the proposed amended agreement,,,,staff_report,VERY_HIGH,Official City staff report directly states this,reported,capacity_guardrail,Do not add water entitlement/capacity to the campus model from this agreement.,
E040,CITY_RES1570_STAFF_2023,Excerpt p.1 (parent packet p.45),2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,staff_estimated_vitesse_waterline_share,"Staff estimate for Vitesse waterline share: $5,225,500",5225500,estimate,USD,staff_report,HIGH,Official City staff estimate,reported,cost_context,Estimate; not measured water volume or entitlement.,
E041,CITY_RES1570_STAFF_2023,Excerpt p.1 (parent packet p.45),2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,staff_estimated_asr_contribution,"Staff estimate for Vitesse ASR well contribution: $3,174,500",3174500,estimate,USD,staff_report,HIGH,Official City staff estimate,reported,cost_context,Estimate; not Meta pumping or water allocation.,
E042,CITY_RES1570_STAFF_2023,Excerpt p.1 (parent packet p.45),2023-07-11,day,VITESSE_LLC,CITY_SERVICE,,water_infrastructure,staff_estimated_total_contribution,"Staff estimated total Vitesse contribution including $840,000 administration fee: $9,240,000",9240000,estimate,USD,staff_report,HIGH,Official City staff estimate,reported,cost_context,Estimate; not water use.,
E043,OPUC_UE463_VITESSE_2026,PDF p.4 (Coyle/2),2010,year,VITESSE_LLC,PRN_UNRESOLVED,,electric_service,first_mesa_year,Vitesse first executed a Master Electric Service Agreement in 2010 and has taken Schedule 48 service since shortly thereafter,2010,stated,year,direct_statement,VERY_HIGH,Vitesse testimony in OPUC proceeding,reported,service_context,Does not provide a 2010 MW value.,Post-study-window testimony corroborating historical service.
E044,OPUC_UE463_VITESSE_2026,PDF p.5-6 (Coyle/3-4),2026-05-14,day,VITESSE_LLC,PRN_UNRESOLVED,,identity,parent_owner,"Vitesse is wholly owned by Meta Platforms, Inc.",,,,direct_statement,VERY_HIGH,Vitesse testimony in OPUC proceeding,reported,identity_crosswalk,,
