rank,owner,action,why_it_matters,exact_instruction_file
1,user/manual,Ask City of Prineville to identify SWR METER / WELL METER FOR SEW / bulk hydrant use / Trailer City / Warehouse relative to the Meta campus water boundary; request well-by-well municipal production and ASR,City meters are now ingested; remaining problem is boundary/source identity not temporal reconstruction,MANUAL_ACQUISITION.md section 3
3,user/manual,Request City/Crook County Meta building permit/final/CO index,converts expansion announcements into defensible capacity/technology epochs,MANUAL_ACQUISITION.md section 4
4,user/local-run,PACW EIA-930 and EPA eGRID layers are integrated,PACW is regional BA context through 2024; eGRID is the annual NWPP physical cross-check against Meta campus MWh,MANUAL_ACQUISITION.md sections 5-6
5,user/local-run,Oregon DEQ 07-0037 air/GHG module is integrated,onsite backup inventory/hours/emissions are independent of grid Scope 2; remaining gaps are scan-only 2019/2021 ARs and missing AR_2013/AR_2018,SOURCE_INSTRUCTIONS.md section 12.5
5,user/manual,Resolve only remaining OWRD POD identity gaps (DT14/DT18; optional DT4-DT12 location confirmation),closes the last municipal source-identity gaps; broad City/Vitesse entity exports are already bundled,MANUAL_ACQUISITION.md section 1
5,user/local-run,NOAA KRDM 2011-2024 weather is already bundled and processed; optional closer Prineville AWOS overlap test remains,quantify off-campus station bias if a complete local archive is obtained,MANUAL_ACQUISITION.md section 7
6,optional cooperation,Ask Meta/PacifiCorp for monthly/hourly campus electricity or IT telemetry,would materially strengthen PUE/load validation and reduce latent-state uncertainty,MANUAL_ACQUISITION.md section 8
7,optional DEQ follow-up,Obtain text-native 2019/2021 annual reports and the missing 2013/2018 ARs; confirm well-house 550 kW replacement operating evidence,closes scan-only and missing-year onsite hours/emissions gaps without OCR,SOURCE_INSTRUCTIONS.md section 12.5

3,user/manual,Request City/Crook County Meta building permit/final/CO index,converts expansion announcements into defensible capacity/technology epochs,MANUAL_ACQUISITION.md section 4
4,user/local-run,PACW EIA-930 and EPA eGRID layers are integrated,PACW is regional BA context through 2024; eGRID is the annual NWPP physical cross-check against Meta campus MWh,MANUAL_ACQUISITION.md sections 5-6
5,user/local-run,Oregon DEQ 07-0037 air/GHG module is integrated,onsite backup inventory/hours/emissions are independent of grid Scope 2; remaining gaps are scan-only 2019/2021 ARs and missing AR_2013/AR_2018,SOURCE_INSTRUCTIONS.md section 12.5
5,user/manual,Resolve only remaining OWRD POD identity gaps (DT14/DT18; optional DT4-DT12 location confirmation),closes the last municipal source-identity gaps; broad City/Vitesse entity exports are already bundled,MANUAL_ACQUISITION.md section 1
5,user/local-run,NOAA KRDM 2011-2024 weather is already bundled and processed; optional closer Prineville AWOS overlap test remains,quantify off-campus station bias if a complete local archive is obtained,MANUAL_ACQUISITION.md section 7
6,optional cooperation,Ask Meta/PacifiCorp for monthly/hourly campus electricity or IT telemetry,would materially strengthen PUE/load validation and reduce latent-state uncertainty,MANUAL_ACQUISITION.md section 8
7,optional DEQ follow-up,Obtain text-native 2019/2021 annual reports and the missing 2013/2018 ARs; confirm well-house 550 kW replacement operating evidence,closes scan-only and missing-year onsite hours/emissions gaps without OCR,SOURCE_INSTRUCTIONS.md section 12.5
