chain_id,model_variable,stage1_raw_source,stage1_recovered,stage2_processing_code,stage2_recovered,stage3_optimization_input,stage3_recovered,stage4_model_implementation,stage4_recovered,stage5_experiment_configuration,stage5_recovered,stage6_output_metric,stage6_recovered,first_break_stage,priority,notes
DP-001,L (136 California HUC8 candidate set and ordering),USGS HUC8 boundary dataset (vintage unspecified in paper),NO,HUC8 selection and ordering script,NO,Ordered 136-element candidate index,NO,Eq. 10 / Eq. 11a-d index set,NO,Statewide case definition,NO,All published results,NO,stage1_raw,P0,Ordering changes every vector and matrix and therefore the optimum. Zero hits for 18070105 or 18050004 within the search boundary. Must not be regenerated from a newer HUC dataset and called exact
DP-002,Y_l (existing data-center capacity),Not specified numerically in the paper,NO,Unknown,NO,Length-136 capacity vector,NO,Eq. 11c capacity constraint,NO,Shared across all scenarios,NO,Siting solution and active-site counts,NO,stage1_raw,P0,Appears explicitly in Eq. 11c but is never given numerically. Explicitly NOT assumed zero by this audit
DP-003,P_l^g (grid levelized cost),EnergySage average residential California grid electricity prices,NO,County-to-HUC8 area weighting,NO,Length-136 cost vector,NO,Eq. 10 cost term,NO,All scenarios,NO,Table I; headline cost increments,NO,stage1_raw,P0,Zero hits for EnergySage. Vintage unknown; current published web values are not the historical experiment values
DP-004,P_l^s and P_l^w (solar and wind levelized cost),NREL SLOPE LCOE at county resolution,NO,County-to-HUC8 area weighting,NO,Two length-136 cost vectors,NO,Eq. 10 cost term,NO,All scenarios,NO,Table I; renewable build decisions,NO,stage1_raw,P0,Area-weighting implementation and overlap rules also missing
DP-005,P_l^dc (data-center levelized cost),Paper constants: 12M USD/MW capital / 20-year life / 100 percent capacity factor,PARTIAL,Levelization arithmetic,NO,Scalar cost coefficient,NO,Eq. 10 first term,NO,All scenarios,NO,Reported 68.49 USD/MWh; DC capital attribution,NO,stage2_processing,P0,Constants are stated in the paper but the derivation code and rounding convention are not recovered. Repository matches on the string 68.49 are coincidental cells in excluded datasets
DP-006,WSF_l^g and WSF_l^dc (grid and DC water scarcity footprint),Siddik et al. 2021 characterization factor and WSF,NO,Unit conversion and HUC8 mapping,NO,Two length-136 WSF vectors,NO,Regional WSF expression and minimax inequity,NO,All scenarios,NO,Table I; max-WSF freeze-gate values,NO,stage1_raw,P0,Exact source files and unit conversions missing. Withdrawals and consumption must not be mixed
DP-007,WSF_l^s and WSF_l^w (solar and wind operational water),Meldrum et al. 2013 multiplied by the Siddik characterization factor,NO,Unit conversion and HUC8 mapping,NO,Two length-136 WSF vectors,NO,Regional WSF expression,NO,All scenarios,NO,Table I,NO,stage1_raw,P0,
DP-008,E_l^g (grid operational emissions),Siddik et al. 2021,NO,HUC8 mapping,NO,Length-136 emissions vector,NO,Eq. 10 emissions term,NO,All scenarios,NO,Table IV emissions column,NO,stage1_raw,P0,
DP-009,E_l^s and E_l^w (solar and wind emissions),NREL harmonized life-cycle assessment,NO,Unit conversion,NO,Two length-136 emissions vectors,NO,Eq. 10 emissions term,NO,All scenarios,NO,Table IV emissions column,NO,stage1_raw,P0,
DP-010,C_lt^s (2013 hourly solar production proportions),NREL NSRDB; horizontal north-south axis tracker; Masters 2013 Sec 4.11 insolation,NO,Insolation model and hourly normalization to sum 1,NO,136 x 8760 proportion matrix,NO,Eq. 11b power balance,NO,Optimization year 2013,NO,Renewable complementarity; Table V,NO,stage1_raw,P0,Product / variables / timezone / nearest-node method unresolved. The single NSRDB hit within the boundary is a bibliography citation
DP-011,C_lt^w (2013 hourly wind production proportions),NREL Wind Toolkit; GE1.5-77 rated power curve with linear interpolation,NO,Power-curve interpolation and hourly normalization to sum 1,NO,136 x 8760 proportion matrix,NO,Eq. 11b power balance,NO,Optimization year 2013,NO,Renewable complementarity; Table V,NO,stage1_raw,P0,Zero hits for Wind Toolkit or GE1.5-77. Generic turbine curves must not be substituted
DP-012,C_lt^s and C_lt^w (2011 validation arrays),NSRDB and WTK for 2011,NO,Same preprocessing as 2013,NO,Two 136 x 8760 matrices,NO,Out-of-sample evaluation,NO,Validation year 2011,NO,Table V validation slopes,NO,stage1_raw,P0,
DP-013,D_t flat demand,Paper definition: constant 2000 MWh per hour,PARTIAL,Array construction,NO,Length-8760 demand array,NO,Eq. 11a demand constraint,NO,Primary freeze-gate scenario,NO,Primary freeze gate,NO,stage2_processing,P0,Definition is reconstructible from the paper but the original array artifact is not recovered; reconstruction alone cannot establish exact lineage
DP-014,D_t business demand,Paper definition: 2000 + 50*sin((2*pi/24)*(h-13)) with h the UTC hour,PARTIAL,Array construction,NO,Length-8760 demand array,NO,Eq. 11a demand constraint,NO,Table IV sensitivity,NO,Table IV,NO,stage2_processing,P0,Timezone convention materially affects the array
DP-015,D_t CAISO demand,CAISO 2013 hourly load rescaled to a 2000 MWh average,NO,Rescaling script,NO,Length-8760 demand array,NO,Eq. 11a demand constraint,NO,Table IV sensitivity,NO,Table IV,NO,stage1_raw,P0,A newer CAISO series must not be substituted
DP-016,sigma_WSF / sigma_P / sigma_E (normalization),Derived from the processed coefficient arrays,NO,Standard deviation with unresolved ddof and concatenation order,NO,Three scalars,NO,Objective normalization in Eq. 10,NO,All scenarios,NO,Reported sigma_WSF 26.7 m3-eq/MWh,NO,stage2_processing,P0,ddof and source concatenation order unresolved; pandas versus numpy default behaviour must not be inferred
DP-017,Model source implementing Eq. 10 and Eq. 11a-d,n/a,n/a,n/a,n/a,n/a,n/a,CVXPY model with Gurobi solver,NO,All scenarios,NO,Every published number,NO,stage4_implementation,P0,Zero hits for cvxpy or gurobi across all 64 commits and all refs. Repository history begins 2026-08-17 which postdates the PSCC submission
DP-018,Inequity construction (f_max minimax and MAD),n/a,n/a,n/a,n/a,n/a,n/a,f_max >= WSF_l for all l; MAD over all location pairs,NO,Minimax for the main case; MAD for Table II,NO,Primary freeze gate; Table II,NO,stage4_implementation,P0,Zero hits for fmax or fMAD within the boundary
DP-019,Scenario configuration,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Four statewide weight tuples (0-1-0-0) (1-1-1-0) (1-1-1-1) (1-1-1-5) and the LA/SF delta sweep 0..20,NO,Primary freeze gate and small-case gate,NO,stage5_configuration,P0,Weight tuples are documented in the paper but no configuration artifact was recovered
DP-020,Solver environment,n/a,n/a,n/a,n/a,n/a,n/a,Python / CVXPY / Gurobi / NumPy / Pandas versions and tolerances,NO,Solver options,NO,Needed to explain numerical or degenerate differences,NO,stage4_implementation,P0,No lock file or environment metadata located
DP-021,Active-site threshold,Not specified in the paper,NO,Post-processing cutoff,NO,n/a,n/a,n/a,n/a,Applied when counting active subbasins,NO,Site counts 1 / 7 / 8 / 11,NO,stage2_processing,P1,A plotting threshold must not be invented; the solver may return tiny positive capacities
DP-022,Original outputs and Figure/Table source data,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Original result CSV or NPY files,NO,stage6_output,P1,Would provide exact targets stronger than paper rounding; none located
